"","Normal","Sospechosa","MeanDecreaseAccuracy","MeanDecreaseGini"
"pitch",36.5900958286911,27.2785297459604,45.1823617831005,81.1449675677898
"dur_ticks",29.2559663512758,29.1287326477584,38.714062453198,79.8143818336033
"velocity",45.5142570614594,36.3852814002812,63.0745523733438,131.538452528888
"tick_on",30.0308009231795,13.2935398754228,39.8218936076251,139.66113394641
"channel",0,0,0,0
"clase_pitch",35.8685311195361,16.9696239096285,39.0766346291501,70.2707226748975
"posicion_relativa",30.2873788963378,15.3568890520833,41.1630648662118,141.371270025878
"octava",17.675138533536,13.0217205754164,22.9088002110029,24.0872920407501
"nota_en_octava",36.0560117318176,18.6715534579963,40.8926655217283,68.9777506799203
"velocidad_norm",45.1557016525488,36.8476053391567,61.8029378207059,131.285420633084
"duracion_norm",31.3113276819731,27.7178166949965,40.9938403902062,80.7134292315514
